Country,Bronze,Silver,Gold,TeamSize,M2012,F2012,GDP2011,Population (in thousands) total,Population in urban areas (%),Population living below the poverty line (% living on &lt; US$1 per day),Population median age (years),Population proportion over 60 (%),Population proportion under 15 (%),Population above 15 and under 60(in thousands),Life expectancy at birth (years) both sexes,Life expectancy at birth (years) female,Life expectancy at birth (years) male,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total
Afghanistan,1,0,0,6,5,1,"20,343,461,030.00",26088,23,,16,4,47,12783,42,43,42,18.39,50.81,34.26
Albania,0,0,0,11,7,4,"12,959,563,902.00",3172,46,2,29,13,26,1935,71,73,69,99.5,99.37,99.44
Algeria,0,0,1,39,21,18,"188,681,000,000.00",33351,64,,24,7,29,21345,71,72,70,86.13,94.06,90.14
Andorra,0,0,0,6,4,2,"3,491,000,000.00",74,93,,,22,14,47,82,85,78,,,
Angola,0,0,0,35,5,30,"100,990,000,000.00",16557,54,,17,4,46,8279,41,43,40,63.18,83.75,72.18
Antigua and Barbuda,0,0,0,5,3,2,"1,128,708,617.00",84,37,,,11,28,51,73,75,70,,,
Argentina,2,1,1,142,99,43,"445,989,000,000.00",39134,90,6.6,29,14,26,23480,75,78,72,99.13,98.71,98.92
Armenia,2,1,0,25,21,4,"10,247,788,877.00",3010,64,2,32,14,20,1987,69,72,65,99.86,99.75,99.81
Australia,12,16,7,413,225,188,"1,371,760,000,000.00",20530,88,,37,18,19,12934,82,84,79,,,
Austria,0,0,0,70,39,31,"418,484,000,000.00",8327,66,,40,22,16,5163,80,83,77,,,
Azerbaijan,6,2,2,53,39,14,"63,403,650,746.00",8406,52,3.7,28,9,24,5632,64,66,62,99.9,99.87,99.89
Bahamas,0,0,1,26,15,11,"7,787,514,000.00",327,91,,28,10,27,206,74,77,71,,,
Bahrain,1,0,0,12,4,8,"22,945,000,000.00",739,97,,29,5,26,510,75,76,74,97.25,96.83,97.02
Bangladesh,0,0,0,5,4,1,"110,612,000,000.00",155991,25,41.3,22,6,35,92035,63,63,63,60.26,67.16,63.62
